Date,Open,High,Low,Close,Volume,Ticker,is_stale,is_outlier,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_signal,MACD_diff,ADX,RSI_14,RSI_9,Stoch_K,Stoch_D,Williams_R,ROC,BB_upper,BB_lower,BB_width,ATR,Keltner_upper,Keltner_lower,OBV,VWAP,MFI,daily_return,log_return,HL_ratio,OC_ratio,gap_pct,return_lag_1,return_lag_3,return_lag_5,return_lag_10,return_lag_20,volatility_5d,volatility_20d,volatility_60d,near_band_limit
2015-03-27,16.45,17.5,16.5,16.6,2836000.0,SCOM.NR,0,0,15.975,15.830000000000002,15.155999999999999,16.03342802777744,15.730779265078777,0.3026487626986629,0.26239934373873053,0.04024941895993239,21.710214481748416,75.85627628723805,81.49190023256817,64.00000000000006,74.83333333333339,-35.99999999999994,4.731861198738182,16.406541412215947,15.253458587784056,7.284161872595647,0.4098865808196786,16.25166666666667,15.451666666666668,152904500.0,15.971107341679806,75.39231684644434,0.00911854103343468,0.00907721815111668,0.06024096385542168,0.00911854103343478,0.0,0.021739130434782483,0.0062893081761006275,0.0,-0.00940438871473348,0.0031746031746031633,0.007261153250745157,0.00993007095238589,0.013188301144533851,0
2015-03-30,16.6,16.95,16.5,16.7,5054200.0,SCOM.NR,0,0,16.080000000000002,15.882499999999999,15.199000000000002,16.135977561965525,15.80257339359146,0.3334041683740647,0.2766003086657974,0.056803859708267346,23.479765022521544,77.18397271241273,83.05537905746604,67.99999999999997,68.16666666666667,-32.00000000000003,4.702194357366771,16.56534332024261,15.199656679757386,8.598688118905878,0.4127518250468444,16.29083333333333,15.520833333333334,157958700.0,16.032608388178648,69.15402624665762,0.0060240963855420215,0.006006024060211728,0.026946107784431097,0.00602409638554204,0.0,0.00911854103343468,0.006250000000000089,0.003154574132492094,-0.009493670886076,-0.009493670886076,0.006748271372087589,0.009540623883189311,0.013131304313837031,0
2015-03-31,16.7,17.4,16.8,17.05,6060000.0,SCOM.NR,0,0,16.225,15.965,15.261,16.276596398586214,15.894975364436537,0.38162103414967774,0.2976044537625735,0.08401658038710424,25.71418693608344,81.101220313315,87.28474901263026,82.00000000000003,71.33333333333336,-17.99999999999997,7.911392405063291,16.780536633144063,15.149463366855937,10.216556631933143,0.4332695518292126,16.385,15.59,164018700.0,16.100927583800907,70.1394384454007,0.020958083832335328,0.020741484306816372,0.035190615835777,0.020958083832335415,0.0,0.0060240963855420215,0.021739130434782483,0.0062893081761006275,-0.0031948881789137795,-0.015974440894568676,0.00788716172008814,0.00918205485250024,0.013209036079001825,0
2015-04-01,17.05,17.4,16.8,17.0,23447000.0,SCOM.NR,0,0,16.35,16.0425,15.318,16.38788926034218,15.976829041144942,0.411060219197239,0.32029560684950664,0.09076461234773237,27.78900728439091,79.01417139254227,83.91842716416778,80.0,76.66666666666667,-20.0,8.62619808306709,16.938198051800914,15.146801948199087,11.16656446066278,0.44517886955569724,16.455833333333334,15.665833333333333,140571700.0,16.313148094358503,52.75781722093528,-0.0029325513196480912,-0.0029368596733097135,0.0352941176470587,-0.0029325513196481355,0.0,0.020958083832335328,0.00911854103343468,0.006250000000000089,0.009615384615384581,0.0032467532467532756,0.010451149797516905,0.009351581825466283,0.013203265489506708,0
2015-04-02,17.0,17.05,15.85,16.6,10225100.0,SCOM.NR,0,0,16.425,16.0875,15.366,16.420521681828,16.022989852911984,0.3975318289160157,0.33574285126280845,0.06178897765320723,26.67914594823638,64.6752083079968,62.29542725093106,64.00000000000006,75.33333333333336,-35.99999999999994,6.410256410256422,17.000119855142298,15.174880144857699,11.345701384830454,0.4990946645874332,16.544166666666666,15.659166666666668,130346600.0,16.361256593998483,51.13202758844899,-0.0235294117647058,-0.023810648693718447,0.07228915662650608,-0.0235294117647058,0.0,-0.0029325513196480912,0.0060240963855420215,0.021739130434782483,0.006349206349206327,0.016181229773462702,0.016600683338338463,0.01090241082893758,0.0135900547930895,0
2015-04-07,16.6,16.6,15.75,15.9,25345600.0,SCOM.NR,0,0,16.56,16.19,15.503,16.38357503801232,16.090098889993893,0.2934761480184278,0.3381336301532686,-0.044657482134840776,23.523510607768976,46.30746315005245,37.938094093542844,8.571428571428592,41.30759330759336,-91.42857142857142,0.31545741324921583,17.0842035562443,15.295796443755703,11.046368823277316,0.6138159541175625,16.755000000000003,15.65,105001000.0,16.456621755616844,45.421919921016624,-0.04216867469879526,-0.04308358613631179,0.05345911949685543,-0.04216867469879524,0.0,0.0,-0.0235294117647058,0.020958083832335328,0.0062893081761006275,0.012861736334405016,0.01869757546170022,0.014244847069063074,0.012600563075143177,0
2015-04-08,15.9,16.2,15.85,15.95,20213300.0,SCOM.NR,0,0,16.545,16.195,15.539000000000001,16.316871186010424,16.07972119443879,0.2371499915716342,0.3179369024369417,-0.08078691086530754,22.43886717823624,47.45536055219059,39.82864276262519,11.428571428571388,23.783783783783804,-88.5714285714286,0.3144654088050247,17.08263731332113,15.307362686678871,10.96186864243444,0.5949719573948794,16.766666666666666,15.651666666666667,125214300.0,16.407986298132652,36.96794077360262,0.0031446540880502027,0.0031397200046676247,0.021943573667711578,0.0031446540880502474,0.0,-0.04216867469879526,0.0,-0.0029325513196480912,0.006250000000000089,0.006349206349206327,0.019742927928687284,0.014194373343046948,0.012549700231345768,0
2015-04-09,15.95,16.5,16.15,16.3,16651200.0,SCOM.NR,0,0,16.53,16.2125,15.583,16.314275618931898,16.09603814299888,0.21823747593301945,0.2979970171361573,-0.07975954120313783,22.139804066906645,54.74836022094621,51.47043218897205,31.42857142857147,17.14285714285715,-68.57142857142853,1.8750000000000044,17.09390512819018,15.331094871809817,10.873155012369235,0.5917596747238166,16.794166666666666,15.664166666666665,141865500.0,16.419418669122294,41.709266968289164,0.021943573667711602,0.021706278581863074,0.021472392638036897,0.02194357366771169,0.0,0.0031446540880502027,0.0,-0.0235294117647058,0.021739130434782483,0.006309148264984188,0.023512007926492776,0.01494684074314141,0.012599939195450723,0
2015-04-10,16.3,16.35,15.75,15.9,30226100.0,SCOM.NR,0,0,16.46,16.2175,15.618,16.25054090832699,16.081516799073036,0.16902410925395372,0.27220243555971657,-0.10317832630576285,20.726701113558782,46.76045133881321,41.21734945535361,8.571428571428592,17.14285714285715,-91.42857142857142,-1.242236024844727,17.090583615697806,15.344416384302198,10.767178858613278,0.5923482693864013,16.810833333333335,15.67083333333333,111639400.0,16.35905474125741,32.86043138006116,-0.024539877300613466,-0.024845998586530776,0.03773584905660386,-0.02453987730061352,0.0,0.021943573667711602,-0.04216867469879526,0.0,0.00911854103343468,-0.00940438871473348,0.025126488515093467,0.01586651486059173,0.012955911355965357,0
2015-04-13,15.9,16.35,15.9,16.0,1185800.0,SCOM.NR,0,0,16.39,16.235000000000003,15.653999999999998,16.21199615319976,16.07547851766022,0.13651763553954055,0.2450654755556814,-0.10854784001614085,19.41453408545005,48.77272896786386,44.33597875702273,14.285714285714286,18.095238095238116,-85.71428571428571,-2.735562310030391,17.075297566341803,15.394702433658203,10.351679289704952,0.5821805358588013,16.843333333333334,15.678333333333333,112825200.0,16.370906875401197,30.680716172534815,0.0062893081761006275,0.006269613013595395,0.028125000000000067,0.006289308176100607,0.0,-0.024539877300613466,0.0031446540880502027,0.0,0.0060240963855420215,-0.009493670886076,0.025795887445902495,0.015738614114228805,0.012748845588934389,0
