Date,Close,High,Low,Open,Volume,Ticker,is_stale,is_outlier,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_signal,MACD_diff,ADX,RSI_14,RSI_9,Stoch_K,Stoch_D,Williams_R,ROC,BB_upper,BB_lower,BB_width,ATR,Keltner_upper,Keltner_lower,OBV,VWAP,MFI,daily_return,log_return,HL_ratio,OC_ratio,gap_pct,return_lag_1,return_lag_3,return_lag_5,return_lag_10,return_lag_20,volatility_5d,volatility_20d,volatility_60d,near_band_limit
2015-03-27,27.38046646118164,27.702588918059213,27.304934953461245,27.67370952303076,158184800.0,AAPL,0,0,27.960951805114746,27.99760684967041,27.3172900390625,27.853443878604395,27.819944572575324,0.03349930602907136,0.17497674462620122,-0.14147743859712986,19.18996935300144,44.878841039258106,39.89384300606597,21.260238405849915,25.390798313649125,-78.73976159415008,0.8262622729517235,28.90642700863286,27.088786690707963,6.492127443907925,0.5590978531274027,28.58653650069808,27.48954147477783,3692100800.0,27.85315335409525,47.29495338037552,-0.007968318563571386,-0.008000235275353526,0.014523272098440593,-0.010596449370297608,0.002656277921231947,0.006970374984281991,-0.0040874761194934495,-0.012549008411100071,-0.006910169725270254,-0.015028282083392352,0.014431544433553939,0.012734139072935476,0.017130177377693387,0
2015-03-30,28.07358169555664,28.08024603964981,27.54707647850533,27.558184848593484,188398800.0,AAPL,0,0,27.992497062683107,27.967393970489503,27.409691162109375,27.887311235058586,27.838732507610978,0.04857872744760883,0.14969714119048275,-0.10111841374287392,18.505910920223563,52.80503338544331,52.769032882213956,62.20472181250393,38.77889238058642,-37.79527818749607,1.542799582173551,28.82232906327405,27.112458877704956,6.113798759274128,0.5691465477946004,28.550843842098136,27.444518226829757,3880499600.0,27.860805038054743,55.581768422327045,0.025314223019452742,0.0249991246541176,0.018991860993243712,0.018702133315194065,0.006490699771817323,-0.007968318563571386,-0.02612694460987719,0.010404939313215511,0.01100421331239998,0.004903932436104874,0.019008269231917063,0.014064141061247756,0.01691271969123105,0
2015-03-31,27.64261054992676,28.10024705323261,27.62705984432607,28.0113851519859,168362400.0,AAPL,0,0,27.93451557159424,27.91263303756714,27.48139087677002,27.849664975807535,27.824204955189924,0.025460020617611434,0.12484971707590849,-0.09938969645829705,17.8217670711717,48.1671029917919,45.89247045118452,36.74590912762474,40.07028978199286,-63.25409087237526,0.6796805802075178,28.70085999515998,27.1244060799743,5.6478151418533615,0.5622923093025961,28.515336123441557,27.393459971880862,3712137200.0,27.910925584429158,57.72068359247577,-0.015351484192631215,-0.015470538235216753,0.017118036230763845,-0.013165168379150726,-0.0022154830204863573,0.025314223019452742,0.006970374984281991,-0.0040874761194934495,0.016726499791730465,0.0020918566637893043,0.020076525736838526,0.0144010848006814,0.017076009209764962,0
2015-04-01,27.602619171142575,27.79589365397358,27.34714187403941,27.72924681302508,162485600.0,AAPL,0,0,27.84076690673828,27.864981269836427,27.54861759185791,27.811657928936,27.807791193408637,0.0038667355273638293,0.10065312076619956,-0.09678638523883573,17.74664072714138,47.74801320531638,45.27653368069792,25.03745943784522,41.32936345932463,-74.96254056215477,-0.5602320965469431,28.605754761144652,27.124207778528202,5.316877726453779,0.5541822714905656,28.47234968169957,27.333145212731715,3549651600.0,27.9229134525903,51.13994126545988,-0.0014467294509669104,-0.0014477769744630188,0.01625757965763344,-0.00456657343549004,0.00313415633960628,-0.015351484192631215,-0.007968318563571386,-0.02612694460987719,0.011256309608392634,-0.006339194282778293,0.015647259708869588,0.014362179263678918,0.01702104928538948,0
2015-04-02,27.840320587158203,27.893637036917603,27.589287345262463,27.77589576687005,128880400.0,AAPL,0,0,27.792337226867676,27.85287380218506,27.60798526763916,27.816067568662493,27.810200778130827,0.005866790531666055,0.08169585471929286,-0.0758290641876268,17.415272176017627,50.5045987500878,49.783259414164824,40.902180494343476,34.22851635327115,-59.097819505656524,-1.3539051566909033,28.586917648178776,27.11882995619134,5.270866131854098,0.5363370872166067,28.43269512635022,27.329479644152308,3678532000.0,27.94852978728122,49.68459189854536,0.008611552930605004,0.00857468501745737,0.01093197510791333,0.0023194506787066814,0.006277541803302111,-0.0014467294509669104,0.025314223019452742,0.006970374984281991,-0.007550372629982927,-0.016570608989000313,0.01580700458276592,0.014081541733142224,0.016380234963066398,0
2015-04-06,28.291297912597656,28.3268433490019,27.620393902014577,27.651495311418447,148776000.0,AAPL,0,0,27.78256301879883,27.840988636016846,27.73007541656494,27.892337126941896,27.847903433429288,0.04443369351260884,0.062350794071892826,-0.017917100559283985,16.071045324696208,55.65249899638428,58.07408951511871,71.42882434678233,51.07772844515643,-28.571175653217658,-0.11763432780993716,28.56986311067753,27.11211416135616,5.235981266252647,0.5331010509640096,28.362531521913837,27.327517429289923,3827308000.0,27.961187285217033,45.45852034893329,0.01619871165016229,0.01606891236539606,0.024970556288008056,0.02313808327446972,-0.006782438986239786,0.0,-0.0014467294509669104,0.025314223019452742,0.010404939313215511,0.004265116916870593,0.011847780424816455,0.014529603283633293,0.016099314190699286,0
2015-04-07,27.993602752685547,28.462345743865,27.986938409407507,28.355712861618176,140049200.0,AAPL,0,0,27.767455673217775,27.857649898529054,27.80693634033203,27.90791645397938,27.85869597559642,0.049220478382959953,0.059724730934106254,-0.0105042525511463,15.419400785219835,51.820966342427745,51.73140177261395,51.277846435916445,54.53628375901409,-48.722153564083555,0.08735056244583211,28.584479828117068,27.13081996894104,5.218171182676772,0.5289800712135442,28.365271043691887,27.358692796842895,3687258800.0,27.917386760052498,42.41105997943498,-0.010522499209184355,-0.010578252155768545,0.01698271346698615,-0.012770269987561334,0.0022768467257855006,0.01619871165016229,0.008611552930605004,-0.015351484192631215,-0.0040874761194934495,-0.02068572914222233,0.010202875550676676,0.01392653517092086,0.016168838232451743,0
2015-04-08,27.902528762817383,28.080252556075337,27.762572419684044,27.95806723634803,149316800.0,AAPL,0,0,27.816774368286133,27.894972038269042,27.85466983795166,27.907087578415993,27.8619428487239,0.04514472969209393,0.05680873068570379,-0.011664000993609855,14.385423857195846,50.67159669842153,49.857293272573145,51.72449863749184,58.14372314006354,-48.27550136250816,-1.265597667677838,28.54664251547271,27.243301561065376,4.672314969949717,0.5138872187262404,28.380674070377985,27.40142064546033,3537942000.0,27.87310464996931,34.62709924895897,-0.0032533858064920373,-0.00325868957268427,0.011385352886532257,-0.00198649187946873,-0.001269415610825901,-0.010522499209184355,0.0,-0.0014467294509669104,-0.02612694460987719,-0.018231549239677625,0.010410488765394056,0.013241273708125122,0.016165354534364004,0
2015-04-09,28.11578941345215,28.120233439390283,27.69369847389072,27.958060390634056,129936000.0,AAPL,0,0,27.868313789367676,27.91840934753418,27.890780410766602,27.93919555303694,27.88074629796303,0.05844925507390997,0.05713683556334503,0.0013124195105649397,13.593790774749545,53.28445971456673,54.225773618366524,71.73928003588762,58.2472083697653,-28.260719964112383,-0.10263680004684224,28.56643365622605,27.27038503884231,4.642272420503104,0.507647772067192,28.390930205804807,27.441667681037796,3667878000.0,27.84935749948115,43.45754206712415,0.007643058177542406,0.007613997986946672,0.01517065586269775,0.005641629662940827,0.0019902005401988654,-0.0032533858064920373,0.01619871165016229,0.008611552930605004,0.006970374984281991,0.01807908771205269,0.010269587367973511,0.012747482552149992,0.01570379807098011,0
2015-04-10,28.23575592041016,28.260192981167595,27.82699362210292,27.98027863651839,160752000.0,AAPL,0,0,27.95384273529053,27.957397270202637,27.9369909286499,27.984820224940513,27.907043307033188,0.07777691790732533,0.06126485203214109,0.016512065875184237,12.752392812978346,54.736898572537,56.61764353901116,81.52222024123371,68.32866630487105,-18.477779758766285,3.015081916014952,28.582882755420762,27.331911784984513,4.47456162798656,0.5023300282812981,28.41088689051555,27.480951817796086,3828630000.0,27.839718092802336,43.70970251723105,0.004266873150664985,0.004257795859362966,0.015342226370201035,0.009130619720074404,-0.004819739362143756,0.007643058177542406,-0.010522499209184355,0.0,-0.007968318563571386,-0.006910169725270254,0.010237708759336791,0.012630690291076819,0.015640421505953808,0
2015-04-13,28.18022727966309,28.56233402701691,28.126910808011424,28.51790052665705,145460400.0,AAPL,0,0,27.96450729370117,27.978502178192137,27.975585212707518,28.014882848743987,27.927279156857626,0.08760369188636119,0.06653262000298511,0.021071071883376077,12.695302884689044,53.90152781049255,55.11789408824692,71.18939180573511,74.81696402761882,-28.81060819426489,2.100810777415891,28.604153444577527,27.352850911806748,4.472371411454999,0.497550970475883,28.44384016992513,27.51657065768081,3683169600.0,27.846236646267485,50.51625886908677,-0.0019666071949194786,-0.0019685435059075933,0.015451373570706403,-0.011840747066156657,0.009992458039451455,0.004266873150664985,-0.0032533858064920373,0.01619871165016229,0.025314223019452742,0.01100421331239998,0.0070508845700024995,0.012447429731720206,0.01564933581309331,0
