Date,Close,High,Low,Open,Volume,Ticker,is_stale,is_outlier
2015-01-02,24.192602157592773,24.65950423811587,23.754465939878138,24.648439535677543,212818400.0,AAPL,0,0
2015-01-05,23.51106071472168,24.042134423807454,23.32518584507189,23.96247328303275,257142000.0,AAPL,0,0
2015-01-06,23.513273239135742,23.772171094232995,23.152584838795235,23.575231527032173,263188400.0,AAPL,0,0
2015-01-07,23.842975616455078,23.942551173433433,23.610630399190438,23.721270657271436,160423600.0,AAPL,0,0
2015-01-08,24.75908660888672,24.816620038545683,24.05320094296326,24.170481081024192,237458000.0,AAPL,0,0
2015-01-09,24.785634994506836,25.060022405088077,24.387329327343235,24.93167928030907,214798000.0,AAPL,0,0
2015-01-12,24.174907684326172,24.92283557059304,24.075332080829757,24.916197422124903,198603200.0,AAPL,0,0
2015-01-13,24.389541625976562,24.960445829902344,24.099664655994744,24.65729087939062,268367600.0,AAPL,0,0
2015-01-14,24.29660415649414,24.44928658228224,24.00893877695945,24.12843047207833,195826400.0,AAPL,0,0
2015-01-15,23.637189865112305,24.354138422379428,23.601785852626346,24.340862128726783,240056000.0,AAPL,0,0
2015-01-16,23.45352554321289,23.805362503417978,23.27871370223808,23.68365752291758,314053200.0,AAPL,0,0
2015-01-19,23.45352554321289,23.805362503417978,23.27871370223808,23.68365752291758,0.0,,0,0
2015-01-20,24.05762481689453,24.112944961639695,23.566381661439586,23.86289682691998,199599600.0,AAPL,0,0
2015-01-21,24.241283416748047,24.575415810890004,23.95804291228469,24.108513744434763,194303600.0,AAPL,0,0
2015-01-22,24.871936798095703,24.88742637071064,24.27890479360892,24.398396505882765,215185600.0,AAPL,0,0
2015-01-23,25.000282287597656,25.17066760238957,24.679424412910738,24.84981141593961,185859200.0,AAPL,0,0
2015-01-26,25.02682876586914,25.305642719304203,24.960445616732773,25.168448176577243,222460000.0,AAPL,0,0
2015-01-27,24.150556564331055,24.88963440186182,24.126215571319666,24.8763564222506,382274800.0,AAPL,0,0
2015-01-28,25.515853881835938,26.13765323403414,25.515853881835938,26.029224573643976,585908400.0,AAPL,0,0
2015-01-29,26.310260772705078,26.37443234220827,25.571182772424184,25.739356482562314,337745600.0,AAPL,0,0
2015-01-30,25.925230026245117,26.55366597735562,25.856631907802715,26.19961743530487,334982000.0,AAPL,0,0
2015-02-02,26.250513076782227,26.370004785647765,25.68624864341562,26.122171630877833,250956400.0,AAPL,0,0
2015-02-03,26.254932403564453,26.352294678311385,26.024800474481754,26.22173998998051,207662800.0,AAPL,0,0
2015-02-04,26.456300735473633,26.66651826072673,26.179700061379986,26.22174390407791,280598800.0,AAPL,0,0
2015-02-05,26.645130157470703,26.709554969732874,26.49184347674695,26.662901175243686,168984800.0,AAPL,0,0
2015-02-06,26.42075538635254,26.713998377671132,26.314120800918854,26.662902250403082,174826400.0,AAPL,0,0
2015-02-09,26.596263885498047,26.62292126746555,26.309685165049736,26.336344241916905,155559200.0,AAPL,0,0
2015-02-10,27.107221603393555,27.136102698827692,26.694016855789393,26.696237174745892,248034000.0,AAPL,0,0
