Date,Open,High,Low,Close,Volume,Ticker,is_stale,is_outlier
2015-01-02,20.0,19.9,19.0,19.5,391100.0,COOP.NR,0,0
2015-01-05,19.5,19.55,18.6,19.1,149100.0,COOP.NR,0,0
2015-01-06,19.1,19.4,18.5,18.85,208600.0,COOP.NR,0,0
2015-01-07,18.85,18.9,18.3,18.55,127100.0,COOP.NR,0,0
2015-01-08,18.55,19.1,18.55,18.95,441800.0,COOP.NR,0,0
2015-01-09,18.95,19.3,18.5,19.0,447300.0,COOP.NR,0,0
2015-01-12,19.0,19.9,19.0,19.1,390700.0,COOP.NR,0,0
2015-01-13,19.1,19.45,18.5,19.0,1160400.0,COOP.NR,0,0
2015-01-14,19.0,19.2,19.0,19.05,1080700.0,COOP.NR,0,0
2015-01-15,19.05,19.4,19.0,19.1,586900.0,COOP.NR,0,0
2015-01-16,19.1,19.3,19.05,19.1,478800.0,COOP.NR,0,0
2015-01-19,19.1,19.35,19.05,19.15,561500.0,COOP.NR,0,0
2015-01-20,19.15,19.3,19.15,19.2,119500.0,COOP.NR,0,0
2015-01-21,19.2,19.35,19.2,19.25,1103700.0,COOP.NR,0,0
2015-01-22,19.25,19.5,19.25,19.3,729900.0,COOP.NR,0,0
2015-01-23,19.3,19.6,19.35,19.5,472100.0,COOP.NR,0,0
2015-01-26,19.5,19.5,19.2,19.35,161800.0,COOP.NR,0,0
2015-01-27,19.35,19.5,19.05,19.15,781800.0,COOP.NR,0,0
2015-01-28,19.15,19.5,18.9,19.1,517100.0,COOP.NR,0,0
2015-01-29,19.1,19.3,19.0,19.05,1962400.0,COOP.NR,0,0
2015-01-30,19.05,19.5,19.2,19.25,684400.0,COOP.NR,0,0
2015-02-02,19.25,20.0,19.1,19.8,3608900.0,COOP.NR,0,0
2015-02-03,19.8,21.0,19.8,20.25,4992000.0,COOP.NR,0,0
2015-02-04,20.25,21.0,20.5,20.5,407900.0,COOP.NR,0,0
2015-02-05,20.5,20.75,19.8,20.0,9616100.0,COOP.NR,0,0
2015-02-06,20.0,20.25,19.6,19.95,2141200.0,COOP.NR,0,0
2015-02-09,19.95,21.0,19.7,19.9,481400.0,COOP.NR,0,0
2015-02-10,19.9,20.0,19.6,19.85,612100.0,COOP.NR,0,0
2015-02-11,19.85,20.25,19.85,19.95,180700.0,COOP.NR,0,0
2015-02-12,19.95,20.75,19.95,20.0,1802500.0,COOP.NR,0,0
2015-02-13,20.0,20.5,19.95,20.0,616300.0,COOP.NR,0,0
2015-02-16,20.0,20.75,20.0,20.25,554900.0,COOP.NR,0,0
2015-02-17,20.25,21.0,20.25,20.5,921700.0,COOP.NR,0,0
2015-02-18,20.5,21.5,20.5,21.0,3003400.0,COOP.NR,0,0
2015-02-19,21.0,22.0,21.0,21.5,249700.0,COOP.NR,0,0
2015-02-20,21.5,22.0,21.5,21.75,823900.0,COOP.NR,0,0
2015-02-23,21.75,21.75,21.0,21.5,268200.0,COOP.NR,0,0
2015-02-24,21.5,22.5,21.75,22.0,938900.0,COOP.NR,0,0
2015-02-25,22.0,22.25,22.0,22.0,2670300.0,COOP.NR,0,0
2015-02-26,22.0,22.75,22.0,22.0,458000.0,COOP.NR,0,0
