Date,Open,High,Low,Close,Volume,Ticker,is_stale,is_outlier
2015-01-02,8.2,8.25,8.25,8.25,300.0,FTGH.NR,0,0
2015-01-05,8.25,8.9,8.4,8.6,73100.0,FTGH.NR,0,0
2015-01-06,8.6,8.95,8.2,8.35,87100.0,FTGH.NR,0,0
2015-01-07,8.35,8.6,8.6,8.6,100.0,FTGH.NR,0,0
2015-01-08,8.6,8.6,8.4,8.45,5700.0,FTGH.NR,0,0
2015-01-09,8.45,8.5,8.5,8.5,800.0,FTGH.NR,0,0
2015-01-12,8.5,8.6,8.4,8.5,66500.0,FTGH.NR,0,0
2015-01-13,8.5,8.5,8.5,8.5,600.0,FTGH.NR,1,0
2015-01-14,8.5,8.5,8.5,8.5,15300.0,FTGH.NR,1,0
2015-01-15,8.5,8.5,8.0,8.35,8000.0,FTGH.NR,0,0
2015-01-16,8.35,8.35,8.0,8.1,2100.0,FTGH.NR,0,0
2015-01-19,8.1,8.35,8.35,8.35,7700.0,FTGH.NR,0,0
2015-01-20,8.35,8.35,8.3,8.3,7700.0,FTGH.NR,0,0
2015-01-21,8.3,8.35,8.0,8.25,4100.0,FTGH.NR,0,0
2015-01-22,8.25,8.25,8.25,8.25,0.0,FTGH.NR,0,0
2015-01-23,8.25,8.35,8.35,8.35,1400.0,FTGH.NR,0,0
2015-01-26,8.35,8.3,8.1,8.1,135900.0,FTGH.NR,0,0
2015-01-27,8.1,8.25,8.2,8.2,7200.0,FTGH.NR,0,0
2015-01-28,8.2,9.0,8.2,8.5,3700.0,FTGH.NR,0,0
2015-01-29,8.5,8.2,8.2,8.2,6400.0,FTGH.NR,0,0
2015-01-30,8.2,8.25,8.2,8.2,3100.0,FTGH.NR,0,0
2015-02-02,8.2,8.2,8.1,8.1,4800.0,FTGH.NR,0,0
2015-02-03,8.1,8.2,8.0,8.0,22600.0,FTGH.NR,0,0
2015-02-04,8.0,8.2,8.0,8.05,8700.0,FTGH.NR,0,0
2015-02-05,8.05,8.2,8.1,8.15,11600.0,FTGH.NR,0,0
2015-02-06,8.15,8.45,8.2,8.2,46200.0,FTGH.NR,0,0
2015-02-09,8.2,8.5,8.2,8.3,300.0,FTGH.NR,0,0
2015-02-10,8.3,9.0,9.0,9.0,200.0,FTGH.NR,0,0
2015-02-11,9.0,8.8,8.5,8.75,9000.0,FTGH.NR,0,0
2015-02-12,8.75,8.8,8.7,8.7,24500.0,FTGH.NR,0,0
2015-02-13,8.7,8.7,8.7,8.7,0.0,FTGH.NR,0,0
2015-02-16,8.7,8.7,8.5,8.65,63000.0,FTGH.NR,0,0
2015-02-17,8.65,9.0,8.7,8.95,13000.0,FTGH.NR,0,0
2015-02-18,8.95,9.0,8.7,8.85,1400.0,FTGH.NR,0,0
2015-02-19,8.85,9.0,8.55,8.6,23600.0,FTGH.NR,0,0
2015-02-20,8.6,9.0,8.5,8.85,243300.0,FTGH.NR,0,0
2015-02-23,8.85,9.0,8.5,8.5,323500.0,FTGH.NR,0,0
2015-02-24,8.5,9.0,8.5,8.9,3100.0,FTGH.NR,0,0
2015-02-25,8.9,9.0,8.5,8.6,19800.0,FTGH.NR,0,0
2015-02-26,8.6,9.0,8.5,8.5,21600.0,FTGH.NR,0,0
2015-02-27,8.5,9.0,9.0,9.0,87500.0,FTGH.NR,0,0
2015-03-02,9.0,9.9,8.75,9.3,23100.0,FTGH.NR,0,0
2015-03-03,9.3,9.0,8.75,8.75,115500.0,FTGH.NR,0,0
2015-03-04,8.75,8.75,8.7,8.7,152500.0,FTGH.NR,0,0
2015-03-05,8.7,8.75,8.7,8.7,55900.0,FTGH.NR,0,0
2015-03-06,8.7,8.75,8.75,8.75,27700.0,FTGH.NR,0,0
2015-03-09,8.75,8.75,8.65,8.7,17700.0,FTGH.NR,0,0
2015-03-10,8.7,8.75,8.7,8.7,30400.0,FTGH.NR,0,0
2015-03-11,8.7,9.3,8.75,9.1,26600.0,FTGH.NR,0,0
2015-03-12,9.1,9.5,8.9,9.2,22100.0,FTGH.NR,0,0
2015-03-13,9.2,9.5,9.2,9.3,24900.0,FTGH.NR,0,0
2015-03-16,9.3,9.45,8.9,9.0,41800.0,FTGH.NR,0,0
2015-03-17,9.0,9.3,9.0,9.0,33600.0,FTGH.NR,0,0
2015-03-18,9.0,9.5,9.3,9.4,8300.0,FTGH.NR,0,0
2015-03-19,9.4,9.5,9.5,9.5,41900.0,FTGH.NR,0,0
2015-03-20,9.5,9.9,9.8,9.85,18000.0,FTGH.NR,0,0
2015-03-23,9.85,10.0,9.1,9.7,16800.0,FTGH.NR,0,0
2015-03-24,9.7,9.8,9.7,9.75,23900.0,FTGH.NR,0,0
2015-03-25,9.75,9.7,9.5,9.6,1700.0,FTGH.NR,0,0
2015-03-26,9.6,9.6,9.6,9.6,0.0,FTGH.NR,0,0
2015-03-27,9.6,9.6,9.5,9.55,6400.0,FTGH.NR,0,0
2015-03-30,9.55,9.45,9.35,9.4,600.0,FTGH.NR,0,0
2015-03-31,9.4,9.4,9.3,9.35,13300.0,FTGH.NR,0,0
2015-04-01,9.35,9.5,9.2,9.2,52600.0,FTGH.NR,0,0
2015-04-02,9.2,9.4,9.0,9.25,128300.0,FTGH.NR,0,0
2015-04-03,9.2,9.4,9.0,9.25,0.0,,0,0
2015-04-06,9.2,9.4,9.0,9.25,0.0,,1,0
2015-04-07,9.25,9.5,9.35,9.45,33100.0,FTGH.NR,0,0
2015-04-08,9.45,9.5,9.25,9.3,89300.0,FTGH.NR,0,0
2015-04-09,9.3,9.4,9.35,9.35,5200.0,FTGH.NR,0,0
2015-04-10,9.35,9.4,8.7,8.7,19700.0,FTGH.NR,0,0
2015-04-13,8.7,9.4,9.4,9.4,8100.0,FTGH.NR,0,0
2015-04-14,9.4,9.4,9.4,9.4,6600.0,FTGH.NR,0,0
2015-04-15,9.4,9.8,9.0,9.1,9300.0,FTGH.NR,0,0
