Date,Open,High,Low,Close,Volume,Ticker,is_stale,is_outlier
2015-01-02,263.0,285.0,285.0,285.0,600.0,NMG.NR,0,0
2015-01-05,285.0,266.0,260.0,265.0,1900.0,NMG.NR,0,0
2015-01-06,265.0,268.0,266.0,267.0,3600.0,NMG.NR,0,0
2015-01-07,267.0,275.0,269.0,271.0,1800.0,NMG.NR,0,0
2015-01-08,271.0,276.0,275.0,275.0,14600.0,NMG.NR,0,0
2015-01-09,275.0,280.0,275.0,275.0,10300.0,NMG.NR,0,0
2015-01-12,275.0,275.0,270.0,271.0,9200.0,NMG.NR,0,0
2015-01-13,271.0,275.0,271.0,273.0,1400.0,NMG.NR,0,0
2015-01-14,273.0,275.0,271.0,274.0,10400.0,NMG.NR,0,0
2015-01-15,274.0,284.0,274.0,281.0,2100.0,NMG.NR,0,0
2015-01-16,281.0,280.0,276.0,278.0,1500.0,NMG.NR,0,0
2015-01-19,278.0,278.0,276.0,276.0,1400.0,NMG.NR,0,0
2015-01-20,276.0,280.0,270.0,277.0,3800.0,NMG.NR,0,0
2015-01-21,277.0,275.0,269.0,272.0,1800.0,NMG.NR,0,0
2015-01-22,272.0,268.0,268.0,268.0,7100.0,NMG.NR,0,0
2015-01-23,268.0,277.0,277.0,277.0,300.0,NMG.NR,0,0
2015-01-26,277.0,269.0,268.0,268.0,1400.0,NMG.NR,0,0
2015-01-27,268.0,275.0,268.0,268.0,18500.0,NMG.NR,0,0
2015-01-28,268.0,271.0,268.0,270.0,14800.0,NMG.NR,0,0
2015-01-29,270.0,270.0,270.0,270.0,100.0,NMG.NR,0,0
2015-01-30,270.0,276.0,276.0,276.0,6900.0,NMG.NR,0,0
2015-02-02,276.0,275.0,268.0,270.0,2700.0,NMG.NR,0,0
2015-02-03,270.0,271.0,269.0,269.0,13700.0,NMG.NR,0,0
2015-02-04,269.0,271.0,269.0,270.0,51900.0,NMG.NR,0,0
2015-02-05,270.0,270.0,269.0,269.0,3600.0,NMG.NR,0,0
2015-02-06,269.0,271.0,268.0,268.0,10200.0,NMG.NR,0,0
2015-02-09,268.0,268.0,268.0,268.0,4800.0,NMG.NR,0,0
2015-02-10,268.0,270.0,268.0,268.0,100100.0,NMG.NR,0,0
2015-02-11,268.0,269.0,265.0,268.0,6300.0,NMG.NR,0,0
2015-02-12,268.0,266.0,265.0,265.0,99200.0,NMG.NR,0,0
2015-02-13,265.0,267.0,266.0,266.0,8500.0,NMG.NR,0,0
2015-02-16,266.0,266.0,265.0,265.0,21400.0,NMG.NR,0,0
2015-02-17,265.0,266.0,257.0,262.0,3700.0,NMG.NR,0,0
2015-02-18,262.0,266.0,263.0,265.0,15200.0,NMG.NR,0,0
2015-02-19,265.0,266.0,264.0,265.0,4600.0,NMG.NR,0,0
2015-02-20,265.0,265.0,263.0,264.0,2600.0,NMG.NR,0,0
2015-02-23,264.0,266.0,264.0,265.0,5200.0,NMG.NR,0,0
2015-02-24,265.0,265.0,258.0,262.0,186100.0,NMG.NR,0,0
2015-02-25,262.0,263.0,262.0,262.0,600.0,NMG.NR,0,0
2015-02-26,262.0,263.0,260.0,262.0,1700.0,NMG.NR,1,0
2015-02-27,262.0,263.0,253.0,261.0,13500.0,NMG.NR,0,0
2015-03-02,261.0,263.0,245.0,259.0,1700.0,NMG.NR,0,0
2015-03-03,259.0,260.0,250.0,259.0,107800.0,NMG.NR,0,0
2015-03-04,259.0,260.0,259.0,259.0,9500.0,NMG.NR,1,0
2015-03-05,259.0,261.0,250.0,250.0,21200.0,NMG.NR,0,0
2015-03-06,250.0,255.0,225.0,230.0,10500.0,NMG.NR,0,0
2015-03-09,230.0,239.0,235.0,235.0,600.0,NMG.NR,0,0
2015-03-10,235.0,255.0,235.0,244.0,106300.0,NMG.NR,0,0
2015-03-11,244.0,252.0,245.0,245.0,34100.0,NMG.NR,0,0
2015-03-12,245.0,247.0,245.0,245.0,700.0,NMG.NR,0,0
2015-03-13,245.0,250.0,248.0,248.0,8200.0,NMG.NR,0,0
2015-03-16,248.0,248.0,248.0,248.0,700.0,NMG.NR,0,0
2015-03-17,248.0,248.0,247.0,247.0,6500.0,NMG.NR,0,0
2015-03-18,247.0,250.0,247.0,247.0,4700.0,NMG.NR,0,0
2015-03-19,247.0,256.0,255.0,255.0,3400.0,NMG.NR,0,0
2015-03-20,255.0,252.0,249.0,251.0,8900.0,NMG.NR,0,0
2015-03-23,251.0,248.0,245.0,245.0,1300.0,NMG.NR,0,0
2015-03-24,245.0,255.0,247.0,249.0,7800.0,NMG.NR,0,0
2015-03-25,249.0,249.0,245.0,246.0,9800.0,NMG.NR,0,0
2015-03-26,246.0,250.0,245.0,246.0,3800.0,NMG.NR,0,0
2015-03-27,246.0,246.0,236.0,244.0,13000.0,NMG.NR,0,0
2015-03-30,244.0,246.0,246.0,246.0,200.0,NMG.NR,0,0
2015-03-31,246.0,250.0,247.0,248.0,6100.0,NMG.NR,0,0
2015-04-01,248.0,249.0,245.0,245.0,71100.0,NMG.NR,0,0
2015-04-02,245.0,236.0,235.0,235.0,1000.0,NMG.NR,0,0
2015-04-03,245.0,236.0,235.0,235.0,0.0,,0,0
2015-04-06,245.0,236.0,235.0,235.0,0.0,,1,0
